id,name
976,Jason Statham
6384,Keanu Reeves
974169,Jenna Ortega
1245,Scarlett Johansson
115440,Sydney Sweeney
1253360,Pedro Pascal
1373737,Florence Pugh
18277,Sandra Bullock
117642,Jason Momoa
224513,Ana de Armas
64,Gary Oldman
1269,Kevin Costner
500,Tom Cruise
19537,Megan Fox
109513,Alexandra Daddario
2524,Tom Hardy
85,Johnny Depp
1190668,Timothée Chalamet
10990,Emma Watson
2604515,Emma Myers
3223,Robert Downey Jr.
4491,Jennifer Aniston
380,Robert De Niro
17276,Gerard Butler
12835,Vin Diesel
11701,Angelina Jolie
368,Reese Witherspoon
6193,Leonardo DiCaprio
70851,Jack Black
8691,Zoe Saldaña
587020,Theo James
2888,Will Smith
74568,Chris Hemsworth
2227,Nicole Kidman
1136406,Tom Holland
11288,Robert Pattinson
17604,Jeremy Renner
18897,Jackie Chan
2963,Nicolas Cage
15111,Jean-Claude Van Damme
1813,Anne Hathaway
2461,Mel Gibson
234352,Margot Robbie
37625,Andrew Garfield
86654,Austin Butler
6885,Charlize Theron
4587,Halle Berry
90633,Gal Gadot
16483,Sylvester Stallone
72129,Jennifer Lawrence
1397778,Anya Taylor-Joy
31,Tom Hanks
130640,Hailee Steinfeld
10859,Ryan Reynolds
2037,Cillian Murphy
2231,Samuel L. Jackson
1892,Matt Damon
60898,Sebastian Stan
550843,Elizabeth Olsen
287,Brad Pitt
37917,Kristen Stewart
1223786,Emilia Clarke
3896,Liam Neeson
505710,Zendaya
17605,Idris Elba
1019,Mads Mikkelsen
73968,Henry Cavill
1172108,Mckenna Grace
38673,Channing Tatum
140,Lucy Liu
18973,Mila Kunis
60959,Jackie Sandler
55638,Kevin Hart
16828,Chris Evans
6161,Jennifer Connelly
71070,Amanda Seyfried
30614,Ryan Gosling
204,Kate Winslet
192,Morgan Freeman
5081,Emily Blunt
131,Jake Gyllenhaal
54693,Emma Stone
56734,Chloë Grace Moretz
5292,Denzel Washington
524,Natalie Portman
118545,Dakota Johnson
4038,Susan Sarandon
1356210,Millie Bobby Brown
17838,Rami Malek
56446,John Cena
517,Pierce Brosnan
39459,Hayley Atwell
34847,Emma Roberts
84223,Anna Kendrick
139,Uma Thurman
11661,Kate Hudson
18918,Dwayne Johnson
56731,Jessica Alba
880,Ben Affleck
1038,Jodie Foster
138,Quentin Tarantino
3,Harrison Ford
776,Eddie Murphy
18050,Elle Fanning
5469,Ralph Fiennes
38334,Jennifer Coolidge
4724,Kevin Bacon
11160,Danny Trejo
2217977,Rachel Zegler
501,Dakota Fanning
11006,James Marsden
19292,Adam Sandler
15112,Tom Selleck
15735,Helen Mirren
3967,Kate Beckinsale
53650,Anthony Mackie
74688,Keke Palmer
55085,Amber Heard
190,Clint Eastwood
9273,Amy Adams
4937,Vince Vaughn
3136,Salma Hayek Pinault
28846,Alexander Skarsgård
6968,Hugh Jackman
3895,Michael Caine
5472,Colin Firth
1204,Julia Roberts
4495,Steve Carell
116,Keira Knightley
205,Kirsten Dunst
137905,Bill Skarsgård
71580,Benedict Cumberbatch
4173,Anthony Hopkins
10959,Shia LaBeouf
10297,Matthew McConaughey
2219,Tobey Maguire
5293,Willem Dafoe
65717,Jon Hamm
1920,Winona Ryder
6886,Christina Ricci
17628,Mary Elizabeth Winstead
10980,Daniel Radcliffe
1158,Al Pacino
1205,Richard Gere
1392137,Margaret Qualley
72855,Felicity Jones
206,Jim Carrey
7056,Emma Thompson
21657,Vera Farmiga
33259,Jennifer Love Hewitt
10860,Jessica Biel
13240,Mark Wahlberg
17419,Bryan Cranston
4730,Emmy Rossum
119592,Aubrey Plaza
71189,Cobie Smulders
17288,Michael Fassbender
73457,Chris Pratt
17244,Hayden Christensen
17647,Michelle Rodriguez
3416,Demi Moore
3141,Marisa Tomei
18999,J.K. Simmons
8784,Daniel Craig
135651,Michael B. Jordan
25072,Oscar Isaac
93491,Will Poulter
8891,John Travolta
62,Bruce Willis
8688,Diego Luna
69597,Drew Barrymore
7399,Ben Stiller
1160,Michelle Pfeiffer
4785,Jeff Goldblum
10205,Sigourney Weaver
29222,Zac Efron
59175,Blake Lively
5576,Val Kilmer
1230,John Goodman
5530,James McAvoy
2157,Robin Williams
3061,Ewan McGregor
738,Sean Connery
955,Penélope Cruz
934,Russell Crowe
1100,Arnold Schwarzenegger
59315,Olivia Wilde
17697,John Krasinski
193,Gene Hackman
48,Sean Bean
1062,Christopher Lloyd
3490,Adrien Brody
17051,James Franco
11705,Michelle Monaghan
9642,Jude Law
16644,Dolph Lundgren
16866,Jennifer Lopez
1016168,Lily James
2232,Michael Keaton
887,Owen Wilson
561869,Amandla Stenberg
27578,Elliot Page
521,Michael J. Fox
5064,Meryl Streep
72466,Colin Farrell
226001,Ariana Grande
9780,Angela Bassett
2975,Laurence Fishburne
819,Edward Norton
110,Viggo Mortensen
60073,Brie Larson
19274,Seth Rogen
518,Danny DeVito
2882,Diane Lane
19492,Viola Davis
58225,Zach Galifianakis
7499,Jared Leto
1620,Michelle Yeoh
37632,Eddie Redmayne
4494,Lisa Ann Walter
9206,Neve Campbell
103,Mark Ruffalo
514,Jack Nicholson
53714,Rachel McAdams
1327,Ian McKellen
83002,Jessica Chastain
8944,Jamie Lee Curtis
17696,Kathryn Hahn
3894,Christian Bale
2228,Sean Penn
569,Ethan Hawke
212208,Taylor Swift
