date,name,tmdbId,entityType,nodePosition
2025-05-18,Mrs. Doubtfire,788,movie,left
2025-05-18,Olivia Wilde,59315,actor,right
2025-05-19,Matthew McConaughey,10297,actor,left
2025-05-19,Ana de Armas,224513,actor,right
2025-05-20,Mama Mia!,11631,movie,left
2025-05-20,Wedding Crashers,9522,movie,right
2025-05-21,Taylor Swift,212208,actor,left
2025-05-21,Ryan Reynolds,10859,actor,right
2025-05-22,Gerard Butler,17276,actor,left
2025-05-22,Grease,621,movie,right
2025-05-23,Emma Thompson,7056,actor,left
2025-05-23,Timothée Chalamet,1190668,actor,right
2025-05-24,Edward Norton,819,actor,left
2025-05-24,Felicity Jones,72855,actor,right
2025-05-25,Amy Adams,9273,actor,left
2025-05-25,Channing Tatum,38673,actor,right
2025-05-26,Kevin Costner,1269,actor,left
2025-05-26,J.K. Simmons,18999,actor,right
2025-05-27,Elliot Page,27578,actor,left
2025-05-27,La La Land,313369,movie,right
2025-05-28,Jennifer Aniston,4491,actor,left
2025-05-28,Viggo Mortensen,110,actor,right
2025-05-29,Spider-Man 3,559,movie,left
2025-05-29,Moana,277834,movie,right
2025-05-30,Austin Butler,86654,actor,left
2025-05-30,Bruce Willis,62,actor,right
2025-05-31,The Da Vinci Code,591,movie,left
2025-05-31,Vince Vaughn,4937,actor,right
2025-06-01,Mark Ruffalo,103,actor,left
2025-06-01,Thor: The Dark World,76338,movie,right
2025-06-02,Adrien Brody,3490,actor,left
2025-06-02,Laurence Fishburne,2975,actor,right
2025-06-03,Jenna Ortega,974169,actor,left
2025-06-03,Michael Fassbender,17288,actor,right
2025-06-04,The Dark Knight Rises,49026,movie,left
2025-06-04,War of the Worlds,74,movie,right
2025-06-05,No Time to Die,370172,movie,left
2025-06-05,Anna Kendrick,84223,actor,right
2025-06-06,Django Unchained,68718,movie,left
2025-06-06,Emma Myers,2604515,actor,right
2025-06-07,Cobie Smulders,71189,actor,left
2025-06-07,Twisters,718821,movie,right
2025-06-08,Bryan Cranston,17419,actor,left
2025-06-08,Kate Beckinsale,3967,actor,right
2025-06-09,James Franco,17051,actor,left
2025-06-09,Helen Mirren,15735,actor,right
2025-06-10,Gone Girl,210577,movie,left
2025-06-10,Demi Moore,3416,actor,right
2025-06-11,Eddie Redmayne,37632,actor,left
2025-06-11,Daniel Craig,8784,actor,right
